t,phi,theta,psi
8.91,-0.286063,-0.22426,-0.0320669
8.98,-0.286597,-0.224713,-0.0320669
9.05,-0.287091,-0.225136,-0.0320669
9.121,-0.287627,-0.225574,-0.0320669
9.191,-0.288126,-0.22597,-0.0360776
9.261,-0.288645,-0.226371,-0.0360776
9.331,-0.285183,-0.226729,-0.0360776
9.401,-0.285684,-0.227129,-0.0360776
9.471,-0.286199,-0.227513,-0.0360776
9.541,-0.286698,-0.227934,-0.0360776
9.612,-0.287189,-0.228317,-0.0360776
9.682,-0.287707,-0.228702,-0.0360776
9.752,-0.288205,-0.229097,-0.0360776
9.822,-0.288682,-0.229478,-0.0360776
9.892,-0.289148,-0.22986,-0.0360776
9.962,-0.28962,-0.230227,-0.0360776
10.033,-0.290126,-0.230604,-0.0360776
10.103,-0.290571,-0.23095,-0.0360776
10.173,-0.291026,-0.231323,-0.0360776
10.243,-0.29149,-0.231677,-0.0360776
10.313,-0.291987,-0.232069,-0.0360776
10.383,-0.292458,-0.232431,-0.0360776
10.454,-0.292894,-0.232802,-0.0360776
10.524,-0.293358,-0.233121,-0.0360776
10.594,-0.293797,-0.233491,-0.0360776
10.664,-0.29426,-0.233818,-0.0360776
10.734,-0.294713,-0.234207,-0.0360776
10.804,-0.29512,-0.234574,-0.0400883
10.875,-0.295568,-0.234955,-0.0400883
10.945,-0.296001,-0.235282,-0.0400883
11.015,-0.296429,-0.235629,-0.0400883
11.085,-0.296869,-0.235951,-0.0400883
11.155,-0.29728,-0.236313,-0.0400883
11.225,-0.297711,-0.236632,-0.0400883
11.295,-0.298133,-0.236946,-0.0400883
11.366,-0.298578,-0.237301,-0.0400883
11.436,-0.303023,-0.237634,-0.0400883
11.506,-0.303426,-0.237935,-0.0400883
11.576,-0.303844,-0.238238,-0.0400883
11.646,-0.300258,-0.238572,-0.0400883
11.716,-0.300659,-0.238875,-0.0400883
11.787,-0.301033,-0.239202,-0.0400883
11.857,-0.301434,-0.239541,-0.0400883
11.927,-0.301863,-0.23985,-0.0400883
11.997,-0.302259,-0.240165,-0.0400883
12.067,-0.302667,-0.240489,-0.0400883
12.137,-0.303056,-0.240793,-0.0400883
12.208,-0.303436,-0.241127,-0.0400883
12.278,-0.299828,-0.241428,-0.0400883
12.348,-0.300238,-0.241725,-0.0400883
12.418,-0.30061,-0.242036,-0.0400883
12.488,-0.300993,-0.242363,-0.0400883
12.558,-0.301368,-0.242672,-0.0400883
12.628,-0.301754,-0.242966,-0.0400883
12.699,-0.302138,-0.243288,-0.0400883
12.769,-0.302491,-0.243598,-0.0400883
